Period,Total,,USA,,,,Overseas,,,,,Total,,USA,,,,Overseas,,,,,Period,Food Services and Drinking Places1 Receipts ,,,,,,,,Food Services and Drinking Places1 Receipts ,,,,,,,,Period,"Air Passenger Traffic 1,2",,,,,,,Other Transportation,,,Air Passenger Traffic ,,,,,,,Other Transportation ,,,Period,Employment in key tourism industries1 (000s),,,,,Hotel Industry2,,,,Consumer Price Index1,,,Employment in key tourism industries1 ,,,,,Hotel Industry2,,,,Consumer Price Index1,
,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,BC2,,,,Canada,,,,BC2,,,,Canada,,,,,Vancouver,,,,,Victoria,,BC Ferries,,,Vancouver,,,,,Victoria,,BC Ferries,,,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 (%),Room Rate ($),Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 ,Room Rate ,Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5
,Annual data,,,,,,,,,,,Annual percent changes,,,,,,,,,,,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,,Annual data,,,,,,,,,,,,Annual percent changes,,,,,,,,,,
Jul,591841,,500850,210292,290558,,90991,41177,32664,17116,,1.724277211,,0.485121341,0.630218926,0.380367378,,9.132014824,23.73268428,0.476791042,-3.794053173,,Jun,564653,76194.27785,488652.2813,,3282997,254766,3028232,,2.311300841,2.328133878,1.888931073,,0.130233472,2.42219819,-0.057921041,,Jun,1120.670976,578.0420958,324.6468236,226.1763628,,95.44727632,,695.8300863,1782.912442,,4.065867321,0.910353532,4.958549025,12.34910569,,0.241150271,,2.195799672,2.787710697,,Jul,15530,31489.29653,125379.2059,30958.55718,,57.40987556,111.3714207,x,,88.31592317,101.9,,-1.659067882,0.174719727,0.632467895,-4.902708075,,1.7460467,0.986814977,x,,-1.10371407,0.493096647
Aug,616792,,512406,217257,295149,,104386,53659,33477,17916,,4.215828238,,2.307277628,3.312061324,1.580063189,,14.72123617,30.31303883,2.488978692,4.67398925,,Jul,566492,76704.07678,490755.9683,,3274556,251131,3023424,,0.325686749,0.669077707,0.430507951,,-0.257112632,-1.426799494,-0.158772511,,Jul,1197.330037,603.7578761,331.8202038,248.1050226,,100.9577514,,695.634203,1785.277271,,6.84046104,4.448772949,2.209595052,9.695380837,,5.773318267,,-0.028151028,0.13263856,,Aug,15205,32066.55946,126224.9458,30499.50008,,60.10267664,112.3507866,x,,88.75131538,102.3,,-2.09272376,1.833203635,0.674545575,-1.482811653,,2.692801085,0.879369074,x,,0.492994004,0.392541708
Sep,603054,,503523,215098,288425,,99531,50119,32560,17540,,-2.227331094,,-1.733586258,-0.993753941,-2.278171364,,-4.65100684,-6.597215751,-2.739194074,-2.098682742,,Aug,569298,78390.64836,491332.7011,,3263358,254329,3009029,,0.495329149,2.198803053,0.11751927,,-0.341970026,1.273438962,-0.476115821,,Aug,1246.027864,624.0770973,341.2961846,272.3939232,,103.1452612,,711.459411,1854.988316,,4.067201651,3.365458565,2.855757644,9.789765781,,2.166757694,,2.274932424,3.904774092,,Sep,15252,31667.61759,124787.2667,30047.33727,,58.42096081,113.1825567,x,,86.23070083,102.3,,0.309108846,-1.244105621,-1.138981777,-1.482525339,,-1.681715831,0.740333186,x,,-2.840086974,0
Oct,611306,,507390,211030,296360,,103916,54679,34304,15867,,1.368368338,,0.767988751,-1.891230974,2.751148479,,4.405662557,9.098345937,5.356265356,-9.538198404,,Sep,575147,77906.53012,493618.8289,,3326079,253060,3073019,,1.027405682,-0.617571424,0.465291201,,1.921977301,-0.498960008,2.126599644,,Sep,1209.316234,613.0456294,318.3218166,275.0247716,,100.6323675,,691.6078751,1757.201778,,-2.946292858,-1.767645041,-6.731504483,0.96582492,,-2.436266749,,-2.790255576,-5.271544674,,Oct,15048,32014.92028,124108.9419,30260.08388,,60.01188982,114.0574838,x,,89.19613482,102.3,,-1.337529504,1.096712391,-0.543584915,0.708038147,,1.590929002,0.773022899,x,,3.438953834,0
Nov,616529,,505763,209278,296485,,110765,54946,34464,19021,,0.854400251,,-0.320660636,-0.830213714,0.042178432,,6.590900343,0.488304468,0.46641791,19.87773366,,Oct,585380,80871.70652,503671.9754,,3353820,255258,3098561,,1.779197318,3.806069147,2.036621363,,0.834045132,0.868568719,0.831169609,,Oct,1230.625715,624.0269359,311.6477873,289.6860913,,104.6393799,,695.5109196,1783.491368,,1.762109903,1.791270664,-2.09662958,5.330908795,,3.981832583,,0.564343549,1.496105383,,Nov,14924,31144.1308,125468.8354,29780.1324,,60.11569464,112.4282998,x,,86.0666414,102.6,,-0.824029771,-2.719948925,1.095725581,-1.586087718,,0.103804829,-1.428388486,x,,-3.508552727,0.293255132
Dec,620077,,507444,207405,300039,,112633,58330,35584,18679,,0.575479823,,0.332369114,-0.894981795,1.198711571,,1.686453302,6.158774069,3.249767874,-1.798012723,,Nov,584396,79383.04594,502396.5487,,3339396,255765,3083630,,-0.168095938,-1.840768106,-0.253225667,,-0.430076748,0.19862257,-0.481868842,,Nov,1241.404929,624.380354,317.1516351,302.5343957,,103.1705257,,692.8977331,1789.397797,,0.875913219,0.056635055,1.766047468,4.435250697,,-1.403729836,,-0.375721839,0.331172273,,Dec,14860,30965.28327,125348.5003,31228.94811,,60.18980931,114.0194831,x,,84.93556839,102.5,,-0.428839453,-0.574257559,-0.095908334,4.865041191,,0.074114661,1.415287156,x,,-1.314182823,-0.097465887
Jan '04,603702,,490490,202586,287904,,113211,57999,34972,19741,,-2.640801062,,-3.341058324,-2.323473397,-4.044474218,,0.513171096,-0.567460998,-1.719874101,5.685529204,,Dec,585646,78583.31057,504318.9253,,3320191,253536,3066655,,0.213896057,-1.007438505,0.382641284,,-0.575104001,-0.871503138,-0.550487575,,Dec,1270.100203,649.8213971,318.5127172,306.0320702,,105.5478262,,621.6441998,1628.235137,,2.311516098,4.074606601,0.429158155,1.156124579,,2.304243871,,-10.28341267,-9.006530601,,Jan '04,15399,30557.54085,124753.9996,31850.18171,,60.26727091,116.7223631,x,,82.96482012,103,,3.627187079,-1.316772773,-0.474278247,1.989287636,,0.077461605,2.370542188,x,,-2.320286191,0.487804878
Feb,639411,,515378,212568,302810,,124034,65762,37286,20625,,5.915004423,,5.074109564,4.927290139,5.177420251,,9.560025086,13.38471353,6.616721949,4.47798997,,Jan '04,580207,78236.62948,499796.0409,,3292362,258367,3033995,,-0.928718031,-0.441163762,-0.896830207,,-0.838174671,1.905449325,-1.065004052,,Jan '04,1255.08282,628.6651277,318.1049152,308.5322442,,103.1065963,,675.5043678,1758.906946,,-1.182377833,-3.25570525,-0.128033209,0.816964698,,-2.312913503,,8.664147113,8.0253648,,Feb,15515,30248.89039,126037.5594,32238.33677,,59.014981,116.9429712,x,,82.34998992,103,,0.753295669,-1.010063167,1.028872681,1.218690225,,-1.252289911,0.189002453,x,,-0.741073383,0
Mar,633329,,520527,213396,307131,,112803,58510,36028,19304,,-0.95118789,,0.999072525,0.389522412,1.426967405,,-9.054775304,-11.02764514,-3.373920506,-6.404848485,,Feb,568650,80157.11585,490522.3215,,3294926,259877,3035050,,-1.991875313,2.454715107,-1.855500772,,0.07787722,0.584439963,0.034772635,,Feb,1294.817662,647.5981211,327.9951009,306.715806,,104.4025333,,715.243478,1839.754374,,3.165913908,3.011618201,3.109095548,-0.588735283,,1.256890511,,5.882879823,4.596458491,,Mar,15338,30674.88648,124698.4063,32774.45218,,61.72714809,115.4111884,x,,82.55884712,103.1,,-1.140831453,1.408303209,-1.062503216,1.662974787,,2.712167087,-1.309854488,x,,0.253621397,0.097087379
Apr,628687,,514532,208798,305734,,114155,59281,36969,18802,,-0.732952383,,-1.151717394,-2.154679563,-0.454854769,,1.198549684,1.317723466,2.611857444,-2.600497306,,Mar,587660,81296.2221,506703.1933,,3376214,254743,3121471,,3.343005364,1.421091865,3.298702459,,2.467066028,-1.975549972,2.847432497,,Mar,1270.798194,647.5042169,322.8325827,303.7028243,,100.4985871,,713.6927654,1833.743382,,-1.855046365,-0.014500388,-1.573961979,-0.982336637,,-3.739321378,,-0.216809051,-0.326727947,,Apr,15517,30759.16479,125002.0364,33282.16534,,61.57910731,117.0636352,x,,83.24548596,103.3,,1.167036119,0.274746922,0.243491514,1.549112592,,-0.148040779,1.431790818,x,,0.831696256,0.193986421
May,617875,,498581,206018,292563,,119294,61393,38375,18899,,-1.719774705,,-3.10009873,-1.331430378,-4.307993223,,4.501773904,3.562692937,3.803186454,0.515902564,,Apr,583735,82241.39378,505880.0103,,3453173,258693,3194481,,-0.667903209,1.162626826,-0.162458619,,2.279446741,1.550582352,2.338961342,,Apr,1287.563778,654.6135599,329.9380422,302.9576537,,105.304525,,718.1258765,1856.745343,,1.3192956,1.097960878,2.200973453,-0.245361761,,4.782094977,,0.621151186,1.254371835,,May,15341,31776.82484,124978.3732,32407.13151,,61.99416058,115.2915706,x,,83.10971203,103.5,,-1.134239866,3.308477519,-0.018930213,-2.629137342,,0.415053268,-1.513761878,x,,-0.16310065,0.193610842
Jun,619874,,500388,209679,290709,,119486,61611,39361,18529,,0.323528222,,0.362428572,1.777029192,-0.633709663,,0.160946904,0.355089342,2.569381107,-1.957775544,,May,585015,80441.87865,506100.9651,,3427182,259554,3167627,,0.219277583,-2.188089302,0.043677305,,-0.752670081,0.332826942,-0.840637337,,May,1299.552518,663.0936287,327.6880259,321.3083894,,102.4841391,,703.974596,1818.948257,,0.931118127,1.295431282,-0.681951168,6.057194945,,-2.678314063,,-1.970584949,-2.035663423,,Jun,15751,31694.52092,124546.3404,31842.78723,,62.10060765,114.6161027,x,,83.06000218,103.5,,2.672576755,-0.259006123,-0.345686025,-1.741420011,,0.106447072,-0.585877896,x,,-0.05981232,0
Jul,617430,,498152,204809,293343,,119278,57020,41801,20329,,-0.394273675,,-0.446853242,-2.322597876,0.9060607,,-0.174078972,-7.451591437,6.199029496,9.714501592,,Jun,590961,79954.11097,510363.0901,,3402534,258927,3143607,,1.016384195,-0.606360375,0.842149163,,-0.719191452,-0.241568229,-0.758296352,,Jun,1310.389541,668.3499806,332.9940041,324.2380528,,103.2597471,,703.8881378,1801.436482,,0.833904149,0.792701304,1.619216407,0.911791772,,0.756807892,,-0.012281439,-0.962741787,,Jul,15494,32354.46369,125508.1282,33062.37341,,62.80141369,115.2078215,x,,82.77362766,103.6,,-1.631642435,2.082198299,0.772232835,3.830023326,,0.700806045,0.516261484,x,,-0.344780299,0.096618357
Aug,612106,,497001,200251,296750,,115106,58669,38443,19229,,-0.862283984,,-0.231053975,-2.225488138,1.161438998,,-3.497711229,2.891967731,-8.033300639,-5.410989227,,Jul,591320,81737.18398,509903.0509,,3428458,261171,3167286,,0.06074851,2.230120488,-0.090139605,,0.761902747,0.866653536,0.75324301,,Jul,1329.85304,675.7176663,333.4769973,315.9138394,,105.7328457,,708.851313,1826.673769,,1.48532162,1.102369411,0.145045613,-2.567315373,,2.395026733,,0.705108513,1.400953482,,Aug,15719,32141.26825,125491.0823,33776.25177,,60.48576685,114.7260874,x,,82.35631333,103.5,,1.452175035,-0.65893672,-0.013581467,2.159186677,,-2.315646846,-0.418143547,x,,-0.504163393,-0.096525097
Sep,618866,,499374,196127,303247,,119492,59228,40271,20278,,1.104383881,,0.477463828,-2.059415434,2.189385004,,3.810400848,0.952803014,4.755091954,5.455301888,,Aug,597333,78740.70748,519173.9933,,3489915,256774,3233141,,1.016877494,-3.665989396,1.81817748,,1.792555137,-1.6835713,2.079224926,,Aug,1320.308128,663.1629215,338.3014622,312.7746316,,101.7361709,,700.4084894,1790.58742,,-0.717741838,-1.857986772,1.446715946,-0.993691143,,-3.779974596,,-1.191057065,-1.975522374,,Sep,15692,32164.41486,127144.3574,34582.3917,,63.59745811,115.3779227,x,,82.26957004,103.6,,-0.171766652,0.072015245,1.317444239,2.386706283,,3.11169126,0.568166574,x,,-0.105326828,0.096618357
Oct,617903,,495551,207508,288043,,122351,61462,40100,19955,,-0.155607191,,-0.765558479,5.802872628,-5.013734678,,2.392628795,3.771864659,-0.424623178,-1.592859256,,Sep,608299,83855.5873,522601.7872,,3468026,261412,3206614,,1.835826917,6.495851991,0.660239918,,-0.627207253,1.806257643,-0.820471486,,Sep,1351.473307,682.4438022,341.6054064,321.3565193,,107.5757663,,710.8995949,1820.968605,,2.360447423,2.907412365,0.976627213,2.743792759,,5.739940165,,1.49785528,1.696716101,,Oct,15620,32361.10108,126610.1675,33903.76667,,61.92241798,114.2032554,x,,81.32439066,103.9,,-0.458832526,0.611502565,-0.420144365,-1.962342662,,-1.675040128,-1.018104107,x,,-1.148880904,0.28957529
Nov,620811,,507363,210933,296430,,113448,57904,35233,18659,,0.47062403,,2.383609356,1.650538774,2.911718042,,-7.276605831,-5.788942761,-12.13715711,-6.494612879,,Oct,609301,85335.81671,522029.3136,,3428961,259409,3169551,,0.164721625,1.765212621,-0.109542996,,-1.126433308,-0.766223433,-1.155829794,,Oct,1327.861725,682.1931649,329.5979711,320.1835176,,104.1029691,,724.7696813,1876.40483,,-1.747099391,-0.036726442,-3.515001545,-0.365015677,,-3.228233763,,1.951061233,3.04432621,,Nov,15323,31476.30104,126527.9287,33577.97943,,61.28478417,113.9326623,x,,82.47854093,104,,-1.901408451,-2.734146915,-0.064954346,-0.960917532,,-0.637633807,-0.236939865,x,,1.419193269,0.096246391
Dec,617754,,501758,204898,296860,,115996,57009,39305,20313,,-0.492420398,,-1.104731721,-2.861098074,0.145059542,,2.245962908,-1.545661785,11.55734681,8.864355003,,Nov,643354,81048.7618,559355.5631,,3465618,260613,3205005,,5.588863304,-5.023746264,7.150220983,,1.06904103,0.464131931,1.118581149,,Nov,1322.746744,672.6063865,331.8483709,317.3165061,,103.7092836,,726.7920646,1862.729801,,-0.385204382,-1.405287954,0.682771152,-0.895427564,,-0.378169292,,0.279038066,-0.728788826,,Dec,15418,32030.62282,128519.6206,33800.18227,,63.32488368,118.4644195,x,,82.00870005,105.2,,0.619983032,1.761076619,1.574112458,0.661751644,,2.040099506,3.97757504,x,,-0.569652269,1.153846154
Jan '05,605362,,484457,186274,298183,,120905,60143,40432,20732,,-2.005976489,,-3.448076563,-9.08940058,0.445664623,,4.232042484,5.497377607,2.867319679,2.062718456,,Dec,612056,81189.59191,531226.6706,,3460827,260813,3200014,,-4.864817814,0.173759725,-5.028803566,,-0.138243742,0.076742143,-0.155725186,,Dec,1355.262543,699.9174236,330.1441211,320.3010156,,107.9868366,,729.8496353,1868.100789,,2.458202948,4.060478405,-0.513562814,0.94054656,,4.124561352,,0.420694013,0.288339614,,Jan '05,15335,32021.17106,127079.1278,32505.20129,,60.13332008,113.6348751,x,,82.72397938,105.2,,-0.53833182,-0.029508513,-1.120834915,-3.831283991,,-3.191563599,-4.076788906,x,,0.87219932,0
Feb,619880,,496768,197999,298769,,123112,60950,41703,20622,,2.398234445,,2.541195607,6.294490911,0.196523611,,1.825400108,1.341802038,3.143549664,-0.530580745,,Jan '05,618395,80958.11978,534815.269,,3491585,264852,3226732,,1.035689545,-0.285100745,0.675530539,,0.888747112,1.548619126,0.834933847,,Jan '05,1374.26515,715.7632083,342.8564963,324.0178142,,107.230465,,672.2713802,1724.766415,,1.402134712,2.263950597,3.85055325,1.160407996,,-0.700429522,,-7.889057187,-7.672732402,,Feb,15652,32488.48462,127526.9054,32144.43478,,62.63568776,113.034928,x,,82.67630196,105.4,,2.067166612,1.459389379,0.352361234,-1.109873177,,2.502367683,-0.527960417,x,,-0.057634333,0.190114068
Mar,601948,,479559,193655,285904,,122390,61774,41979,21091,,-2.892817965,,-3.464192541,-2.193950474,-4.306002296,,-0.58645786,1.35192781,0.66182289,2.274270197,,Feb,631731,84737.49523,546411.379,,3521113,269837,3251277,,2.156550425,4.668309321,2.168245877,,0.845690424,1.882183257,0.760676747,,Feb,1352.253029,706.1934934,330.4001372,326.7710007,,111.0994521,,735.1270538,1885.113423,,-1.601737572,-1.336994531,-3.633111592,0.849702197,,3.608104446,,9.349747055,9.296737669,,Mar,15323,32083.69361,128262.601,32484.86604,,61.41388795,112.7643463,x,,81.45095494,105.6,,-2.1019678,-1.245952289,0.576894424,1.059067489,,-1.221799814,-0.239378869,x,,-1.48210188,0.189753321
Apr,604409,,478319,189863,288456,,126091,61935,41284,21870,,0.408839302,,-0.258570895,-1.958121401,0.892607309,,3.023939864,0.260627448,-1.6555897,3.693518562,,Mar,607432,84739.41401,525719.569,,3481607,274260,3207347,,-3.846415642,0.00226438,-3.786855621,,-1.121974785,1.639137702,-1.351161405,,Mar,1354.196927,694.9102245,342.202019,318.4194597,,115.1938147,,732.4870633,1866.526646,,0.143752551,-1.597758828,3.571996652,-2.555777906,,3.685313018,,-0.359120305,-0.985976598,,Apr,15704,32484.62363,127053.8984,32645.51154,,63.82680218,113.9017186,x,,81.12355226,105.6,,2.486458265,1.249637994,-0.942365536,0.494524116,,2.412914229,1.008627666,x,,-0.401962967,0
May,616643,,492098,199556,292542,,124545,60290,41226,22624,,2.024126047,,2.880713499,5.105260109,1.416507197,,-1.226098611,-2.656010333,-0.140490263,3.447645176,,Apr,612476,83559.96767,530515.8279,,3499052,263860,3235192,,0.830381014,-1.391850946,0.912322693,,0.501061722,-3.792022169,0.868163002,,Apr,1344.616422,670.4965912,337.5861538,338.1815981,,108.0705162,,713.5349319,1810.638472,,-0.707467636,-3.513206795,-1.348871404,6.206322445,,-6.183750841,,-2.587367386,-2.994233961,,May,15977,32216.17761,128194.4604,32907.5196,,63.5617938,114.6071455,x,,79.67113766,106.1,,1.738410596,-0.826378737,0.897699332,0.802585264,,-0.265008373,0.619329398,x,,-1.790373527,0.473484848
Jun,607337,,485276,200473,284803,,122060,59469,40513,21899,,-1.509138999,,-1.386309231,0.459520135,-2.645432109,,-1.995262756,-1.361751534,-1.729491098,-3.204561528,,May,630417,82346.59054,546715.3412,,3512329,262149,3250179,,2.929257636,-1.452103402,3.053540048,,0.379445633,-0.648449936,0.463249167,,May,1368.316271,678.7607674,350.7104417,339.6371894,,107.5242431,,722.8835306,1843.265047,,1.762573256,1.232545591,3.887685487,0.430417068,,-0.505478425,,1.310180945,1.801937624,,Jun,16010,33310.63857,129186.3543,33147.98017,,64.38669022,115.4743581,x,,79.66955106,107.2,,0.206546911,3.397240277,0.773741569,0.730716167,,0.824896419,0.756682873,x,,-0.001991435,1.036757776
Jul,607410,,484081,196354,287727,,123329,59384,40842,22921,,0.012019686,,-0.246251618,-2.054640775,1.026674579,,1.03965263,-0.142931611,0.81208501,4.666879766,,Jun,615284,77347.64266,538609.7662,,3567055,261621,3305434,,-2.400474606,-6.070619126,-1.482595126,,1.558111441,-0.201412174,1.700060212,,Jun,1368.767376,695.7006439,338.3034383,335.1970757,,109.6248204,,709.7993193,1795.375979,,0.032967881,2.495706482,-3.537677214,-1.30731081,,1.953584824,,-1.810002681,-2.598056551,,Jul,15950,33414.04912,129330.7294,33427.14876,,63.31707827,116.8136509,x,,79.52534719,107.3,,-0.374765771,0.310443007,0.111757222,0.842188849,,-1.06961195,1.159818326,x,,-0.181002491,0.093283582
Aug,595692,,478356,193980,284376,,117337,57557,40883,20257,,-1.929174693,,-1.182653316,-1.209040814,-1.164645654,,-4.858549084,-3.076586286,0.100386857,-11.62252956,,Jul,614384,74014.13992,539844.4588,,3536158,254104,3282054,,-0.146273916,-4.309766434,0.229236954,,-0.86617672,-2.873240298,-0.707320128,,Jul,1373.712078,694.561564,343.6570887,333.1704473,,107.5937057,,709.6971117,1797.258049,,0.361252171,-0.163731327,1.58249954,-0.604608014,,-1.852787251,,-0.014399506,0.104828761,,Aug,15926,33186.53857,129936.329,33903.74808,,63.51448381,118.1172714,x,,77.51186076,107.4,,-0.150470219,-0.680882897,0.46825659,1.425785134,,0.197405542,1.115983015,x,,-2.53188009,0.093196645
Sep,602543,,478679,194500,284179,,123863,60100,41639,21609,,1.150090987,,0.067522933,0.268068873,-0.069274482,,5.561758013,4.418228886,1.849179366,6.674236067,,Aug,612482,71836.58965,540950.1591,,3560616,257064,3303552,,-0.309578374,-2.942073331,0.204818307,,0.691654615,1.164877373,0.655016645,,Aug,1363.722411,690.5854856,336.8073124,331.3089895,,107.2499117,,709.7390596,1799.062448,,-0.727202368,-0.57245874,-1.993200941,-0.558710367,,-0.319529803,,0.005910675,0.100397282,,Sep,16061,33326.5166,130000.7307,34010.03957,,65.67517487,119.6100563,x,,80.0559322,107.4,,0.847670476,0.421791581,0.049564005,0.313509554,,2.160691054,1.263815945,x,,3.282170514,0
Oct,589899,,466123,193320,272803,,123776,60600,41373,20832,,-2.098439447,,-2.623052192,-0.606683805,-4.003110715,,-0.070238893,0.831946755,-0.638824179,-3.595724004,,Sep,605424,60514.73418,542991.6093,,3508821,230414,3278407,,-1.152360396,-15.76056927,0.377382319,,-1.454664024,-10.36706812,-0.761150422,,Sep,1389.909889,700.5079021,343.2839249,333.5473909,,110.293527,,703.2990248,1800.401777,,1.920293856,1.43681219,1.922942954,0.675623522,,2.837872049,,-0.907380637,0.074445955,,Oct,15890,33094.33023,129264.386,33818.73376,,64.31912062,118.1643867,x,,79.03099099,107.3,,-1.064690866,-0.69670158,-0.566415784,-0.562498042,,-1.356054246,-1.208652249,x,,-1.280281395,-0.09310987
Nov,583386,,460015,180901,279114,,123371,60447,40828,20991,,-1.10408731,,-1.31038374,-6.424063729,2.313390982,,-0.327203981,-0.252475248,-1.317284219,0.763248848,,Oct,601028,65997.66616,535133.4333,,3547331,240718,3306613,,-0.726102698,9.06049089,-1.447200278,,1.097519651,4.471950489,0.860356875,,Oct,1388.074992,697.3993667,350.4989566,341.3983262,,108.2171577,,691.5871834,1765.699337,,-0.132015539,-0.443754497,2.101768005,2.353769049,,-1.882584934,,-1.665271959,-1.927483086,,Nov,15861,32848.53394,129853.608,34229.68513,,67.73287676,122.3393194,x,,77.79983991,107.5,,-0.18250472,-0.742714219,0.455826978,1.215158938,,3.413756143,3.533156504,x,,-1.557807979,0.18639329
Dec,590278,,467224,187594,279630,,123054,60872,41028,21134,,1.181379053,,1.567122811,3.69981371,0.184870698,,-0.256948554,0.703095274,0.4898599,0.681244343,,Nov,604811,66860.49545,538428.913,,3563656,246397,3317260,,0.629421591,1.307363338,0.615823929,,0.460205151,2.359192084,0.321991113,,Nov,1380.456386,712.3383948,346.2524883,319.7821783,,112.6093454,,717.7156249,1845.058606,,-0.54886125,2.142105198,-1.211549464,-6.331650229,,4.058679614,,3.778040156,4.494494995,,Dec,15995,33593.24244,130083.8696,33796.13128,,66.58308368,117.1679438,x,,79.26055169,107.6,,0.844839544,2.267098154,0.177324047,-1.266601917,,-1.149793085,-4.227075648,x,,1.877525435,0.093023256
Jan '06,569041,,457454,181503,275951,,111587,57855,36108,18242,,-3.597796293,,-2.091074089,-3.246905551,-1.315667132,,-9.318673103,-4.956301748,-11.99181047,-13.68411091,,Dec,602280,67476.14475,535619.2742,,3596394,252497,3343897,,-0.418477839,0.920796793,-0.52182168,,0.918663305,2.475679493,0.802981979,,Dec,1360.58907,690.7333581,343.8615429,323.08053,,113.5930411,,720.8587167,1857.833801,,-1.439184605,-3.032973782,-0.690520798,1.031437012,,0.873547104,,0.437929969,0.692400523,,Jan '06,15863,33515.09871,131339.1302,35255.79086,,69.24100754,114.1990705,x,,77.43074659,107.6,,-0.825257893,-0.232617429,0.964962524,4.319013808,,2.657923863,-2.533861422,x,,-2.308594956,0
Feb,567178,,447208,172195,275013,,119970,60018,39300,21226,,-0.32739293,,-2.239788044,-5.128289891,-0.33991542,,7.51252386,3.738656987,8.840146228,16.3578555,,Jan '06,641061,66144.2186,576601.5117,,3719359,252944,3466415,,6.43903168,-1.973921531,7.651374683,,3.419119262,0.177031806,3.663928644,,Jan '06,1357.338745,704.961532,334.6158257,319.7834925,,113.8776284,,731.5012539,1876.090165,,-0.238891014,2.059864887,-2.688790703,-1.020500239,,0.250532348,,1.476369366,0.982669399,,Feb,16057,33883.36335,132023.211,35359.10089,,66.86582873,113.4427587,x,,76.18519857,108.5,,1.222971695,1.098802208,0.520850722,0.293029964,,-2.375178814,-0.662274873,x,,-1.608596169,0.836431227
Mar,579676,,453574,168208,285366,,126102,61520,42233,22336,,2.20354104,,1.423498685,-2.31539824,3.764549312,,5.111277819,2.502582559,7.463104326,5.229435598,,Feb,652747,64585.11101,589425.8196,,3703700,249100,3454599,,1.822915448,-2.357133582,2.224119708,,-0.421013406,-1.519703966,-0.3408709,,Feb,1371.667937,718.6714193,345.7143506,316.0868984,,113.7455062,,714.1246635,1808.548625,,1.055682839,1.944770979,3.316796182,-1.155967748,,-0.116021187,,-2.375469671,-3.600122268,,Mar,15994,34334.60001,133181.1361,35542.80654,,69.38903097,117.1768611,x,,77.27874657,108.4,,-0.392352245,1.331735158,0.877061714,0.519542763,,2.523202238,3.291618078,x,,1.435381184,-0.092165899
Apr,583168,,461299,164383,296916,,121869,60034,42058,21530,,0.602405482,,1.703139951,-2.273970322,4.047433822,,-3.356806395,-2.415474642,-0.414367911,-3.608524355,,Mar,654754,59778.39847,598355.26,,3704840,225208,3479632,,0.307469816,-7.442446822,1.5149388,,0.030780031,-9.591328784,0.724628242,,Mar,1403.937148,723.8686247,346.794946,327.0619433,,112.112937,,716.0558202,1799.657064,,2.352552682,0.723168518,0.312568848,3.472160656,,-1.435282346,,0.270422909,-0.491640703,,Apr,15888,34250.36577,134026.7263,36156.4605,,68.08650012,121.9859201,x,,76.07227737,109.1,,-0.662748531,-0.245333393,0.634917432,1.726520833,,-1.302530842,4.104102956,x,,-1.561191479,0.645756458
May,568291,,445790,158256,287534,,122501,57969,42766,21214,,-2.551065902,,-3.362027665,-3.727271068,-3.159816244,,0.518589633,-3.439717493,1.683389605,-1.467719461,,Apr,662243,59316.82112,602066.9391,,3686961,248381,3438581,,1.143788354,-0.772147399,0.620313606,,-0.482584943,10.28959895,-1.179751192,,Apr,1387.346577,710.9320162,350.9433543,333.1461288,,113.1446064,,720.1228319,1837.593907,,-1.181717534,-1.787148673,1.196213613,1.860254798,,0.920205434,,0.567974113,2.108004009,,May,16210,34984.72963,134827.8953,34719.80851,,67.6370794,125.3010292,x,,77.44683003,109.6,,2.026686808,2.144105141,0.597768094,-3.973430944,,-0.449420725,2.717616156,x,,1.806903521,0.458295142
Jun,576384,,452158,160001,292157,,124226,59595,41358,22517,,1.424094346,,1.428475291,1.102643818,1.607809859,,1.40815177,2.804947472,-3.292335033,6.142170265,,May,648698,57445.22673,588567.1045,,3680135,248185,3431950,,-2.045321732,-3.155250654,-2.242248119,,-0.185138926,-0.078911028,-0.192841175,,May,1407.481555,732.5067828,350.3642641,326.7161863,,117.7666843,,707.7805398,1802.817458,,1.451330095,3.034715852,-0.165009614,-1.930066711,,4.085106689,,-1.71391484,-1.892499176,,Jun,16872,34591.62165,133788.6937,35085.8205,,67.00934191,125.7237443,x,,78.25692314,109.4,,4.083898828,-1.123655896,-0.770761553,1.054187832,,-0.627737488,0.3373597,x,,1.045999059,-0.182481752
