Period,Total,,USA,,,,Overseas,,,,,Total,,USA,,,,Overseas,,,,,Period,Food Services and Drinking Places1 Receipts ,,,,,,,,Food Services and Drinking Places1 Receipts ,,,,,,,,Period,"Air Passenger Traffic 1,2",,,,,,,Other Transportation,,,Air Passenger Traffic ,,,,,,,Other Transportation ,,,Period,Employment in key tourism industries1 (000s),,,,,Hotel Industry2,,,,Consumer Price Index1,,,Employment in key tourism industries1 ,,,,,Hotel Industry2,,,,Consumer Price Index1,
,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,BC2,,,,Canada,,,,BC2,,,,Canada,,,,,Vancouver,,,,,Victoria,,BC Ferries,,,Vancouver,,,,,Victoria,,BC Ferries,,,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 (%),Room Rate ($),Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 ,Room Rate ,Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5
,Annual data,,,,,,,,,,,Annual percent changes,,,,,,,,,,,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,,Annual data,,,,,,,,,,,,Annual percent changes,,,,,,,,,,
2008,"5,988,721",,"4,475,512","1,431,662","3,043,850",,"1,513,210",672995,514060,326153,,-8.94206551,,-11.58583046,-18.87217027,-7.686200105,,-0.107668065,-3.755700694,-0.959463625,9.984319412,,2007,"8,067,512",786371,"7,281,141",,"45,881,984","2,837,392","43,044,593",,3.027135142,8.050647174,2.51239917,,2.955313537,-1.95401425,3.296258077,,2007,"17,495","9,017","4,361","4,117",,"1,482",,"8,559","21,690",,3.385192141,3.528560742,2.555843753,3.959736305,,6.582260269,,0.339976553,0.004610632,,2008,16491.5,35678.16667,149189.0833,35615.33333,,64.7,133.2508333,x,,83.525,115.075,,-1.268209938,1.642854769,5.699287611,-2.431318117,,-1.925,4.083240034,x,,2.968974728,2.592867756
2009,"5,607,705",,"4,294,860","1,466,674","2,828,186",,"1,312,846",575125,470504,267215,,-6.362226592,,-4.036454377,2.445549299,-7.085237446,,-13.24099101,-14.54245574,-8.472940902,-18.07066009,,2008,"8,170,991",833057,"7,337,934",,"48,068,543","2,887,984","45,180,559",,1.282663106,5.936892383,0.780001376,,4.765615628,1.783045839,4.962216741,,2008,"17,852","9,345","4,335","4,172",,"1,538",,"8,227","20,992",,2.042745732,3.640026192,-0.590070066,1.334340138,,3.833693305,,-3.878957822,-3.218072845,,2009,17405.16667,33730.16667,151233.9167,37767.25,,58.81666667,128.2116667,x,,80.58333333,118.1666667,,5.540227794,-5.459921801,1.370632011,6.042107332,,-5.883333333,-3.781714936,x,,-3.521899631,2.686653632
2010,"6,190,813",,"4,757,883","1,845,207","2,912,674",,"1,432,921",628534,518289,286076,,10.39833586,,10.78086364,25.80893914,2.98735656,,9.146160326,9.286502934,10.15613045,7.058361245,,2009,"8,252,827",825922,"7,426,905",,"48,389,866","2,887,723","45,502,146",,1.001543142,-0.85648401,1.212480243,,0.668468358,-0.009037446,0.711781809,,2009,"16,179","8,677","3,849","3,653",,"1,533",,"8,296","20,953",,-9.372041724,-7.14198041,-11.22923309,-12.43713531,,-0.357514301,,0.838701835,-0.185785061,,2010,17095.08333,33853.08333,151328.3333,36216,,60.24166667,136.7733333,"1,494,182",,84.69166667,123.2416667,,-1.781559116,0.364411679,0.062430881,-4.107394634,,1.425,6.677759434,x,,5.098241986,4.294781382
2011,5965893,,4580406,1762819,2817579,,1385479,625574,466778,293101,,-3.633125407,,-3.730167387,-4.464973307,-3.264869326,,-3.310859426,-0.470937133,-9.938663564,2.455641158,,2010,"8,296,211",766610,"7,529,601",,"49,964,747","2,795,186","47,169,559",,0.525686531,-7.181307678,1.382756343,,3.254567806,-3.204497107,3.664471122,,2010,"16,779","8,781","4,134","3,863",,"1,514",,"8,165","20,960",,3.705161898,1.199178091,7.413905191,5.750153421,,-1.213386392,,-1.579074253,0.033408104,,2011,16957.58333,33436.08333,152551.75,36857.58333,,59.775,128.5558333,"1,438,551",,81.51666667,129.5,,-0.80432483,-1.231793264,0.808451821,1.771546646,,-0.466666667,-6.008115617,-3.723173613,,-3.748893043,5.078098587
2012,5964000,,4552289,1708241,2844043,,1411704,644679,455194,311810,,-0.031730371,,-0.613853881,-3.096063748,0.939246069,,1.892847167,3.053995211,-2.481693653,6.383123906,,2011,8112538,749632,7362906,,51446022,2689529,48756493,,-2.213938387,-2.214685433,-2.213862328,,2.964640249,-3.779963122,3.364318076,,2011,17032.79,8875.301,4165.119,3992.36,,1499.792,,7891,20250,,1.513815955,1.069121305,0.75426869,3.337484234,,-0.958066433,,-3.355786895,-3.38740458,,2012,15811.41667,34009.5,156413.0833,36592.25,,59.45833333,129.3716667,"1,457,959",,83.525,132.225,,-6.759021283,1.714963625,2.531162922,-0.719888038,,-0.316666667,0.634614013,1.349134638,,2.463708853,2.104247104
2013,6134563,,4647427,1792204,2855220,,1487130,701342,458289,327474,,2.859875922,,2.089893678,4.915172976,0.392996871,,5.342904745,8.789335468,0.679929876,5.023572047,,2012,"8,271,053",678720,"7,592,333",,"54,034,113",2667944,"51,366,171",,1.953950786,-9.459574831,3.115984368,,5.030692169,-0.802556879,5.352472747,,2012,"17,597","9,171",4284.078,4142.022,,1506.212,,7735,"19,861",,3.311847325,3.329464544,2.856076861,3.748710036,,0.428059358,,-1.97693575,-1.920987654,,2013,15838.75,35430.75,164635.25,37292.83333,,60.92166667,132.2716667,"1,536,717",,85.95833333,128.8416667,,0.172870869,4.178979403,5.256700074,1.91456752,,1.463333333,2.241603648,5.401935171,,2.913299411,-2.558769774
2014,6396703,,4775763,1797160,2978600,,1620932,795606,470651,354648,,4.273165016,,2.761441976,0.27653102,4.321208173,,8.997330428,13.44051832,2.697424551,8.298063358,,2013,"8,745,083",648232,"8,096,851",,"56,404,830",2641037,"53,763,796",,5.731192872,-4.491984913,6.645098417,,4.38744502,-1.008529414,4.667712141,,2013,"17,972","9,442",4304.641,4225.003,,1556.96,,7709.3,"19,845",,2.131115214,2.959806891,0.479986592,2.003393512,,3.369246826,,-0.332255979,-0.08125472,,2014,16198.58333,36322.58333,170277,38093.08333,,63.76666667,138.765,"1,680,621",,89.53333333,129.325,,2.271854366,2.517116723,3.426817768,2.145854655,,2.845,4.909088618,9.364378737,,4.15899176,0.375137443
2015,6928413,,5234683,1971058,3263619,,1693724,831824,487356,374521,,8.312250858,,9.609354568,9.676266999,9.568891426,,4.490749766,4.552253251,3.549339107,5.603584399,,2014,"9,454,625",678358,"8,776,267",,"59,399,353",2664119,"56,735,235",,8.113610814,4.647410186,8.391114027,,5.308983291,0.873974882,5.526840032,,2014,"19,358","10,088",4714.172,4555.82,,1650.904,,7617.4,"19,647",,7.713819908,6.841269322,9.513708576,7.829982606,,6.033809475,,-1.192066725,-0.995154312,,2015,16099.33333,36077.75,177920.9167,39494.08333,,65.95,150.0941667,"1,946,920",,97.46666667,132.2833333,,-0.612707901,-0.674052644,4.489106965,3.677833027,,2.183333333,8.16428254,15.84527386,,8.860759494,2.287518526
2016,7673485,,5732758,2111623,3621130,,1940717,939322,549799,451573,,10.75386239,,9.514902813,7.131449201,10.95443433,,14.5828364,12.92316644,12.81260516,20.57347919,,2015,"10,191,532",690213,"9,501,319",,"62,815,740",2629339,"60,186,404",,7.794143078,1.747602298,8.261507997,,5.751555913,-1.305497239,6.082937702,,2015,"20,316","10,345",5092.376,4878.291,,1710.825,,7960.1,"20,443",,4.947459012,2.548510102,8.022702608,7.078220825,,3.629587184,,4.498910389,4.048474669,,2016,16424.66667,37685.33333,185038,44215.41667,,68.14166667,159.5683333,"2,229,383",,101.9583333,135.7166667,,2.02078761,4.455885784,4.000138638,11.95453327,,2.191666667,6.312148485,14.50818288,,4.608413133,2.595439083
2017,7951030,,5850769,2227725,3623038,,2100254,1014174,577233,508819,,3.61693546,,2.058537967,5.498235244,0.052690735,,8.220518499,7.968726379,4.989823554,12.67702011,,2016,"11,122,734",738134,"10,384,600",,"66,862,572",2749756,"64,112,814",,9.137016888,6.942929212,9.296404005,,6.4423853,4.579744187,6.523749118,,2016,"22,285","11,134",5464.779,5685.519,,1856.421,,8334.4,"21,196",,9.689623331,7.625592938,7.312951754,16.54735234,,8.510280128,,4.702202234,3.686541086,,2017,16852.58333,39157,192960.1667,46628.5,,70.01666667,169.6591667,"2,469,942",,106.2333333,139.15,,2.605329383,3.905144353,4.281372835,5.457560994,,1.875,6.323832005,10.79039806,,4.192889252,2.529780179
