Table 6: Average Employment Incomes by Area and Economic Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: BC Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sector Aggregations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,Forestry,,,Mining,Oil and Gas,"Fishing, Hunting and Trapping",Agriculture and Food,,,Tourism,,,,,,,Public Sector,,,,,,,,Construction,Film and TV,High Tech Manufacturing,Other Manufacturing,Utilities,Truck Transport,Water Transport,Rail Transport,Other Transport,Retail Trade,Wholesale Trade,Business Services,FIRE,Information and Communications Technology,Other Services,,,,,
Key,Region Name,Ref_Year,Statistic,Geo_Type,Parent_RD,Total,Forestry Total,Forestry: Logging,Forestry: Wood Manufacturing,Mining Total,Oil and Gas Total,Fishing Total,Agriculture Total,"Agriculture: Farming, Greenhouses and Aquaculture",Agriculture: Food Processing,Tourism Total,Tourism: Transportation,Tourism: Accommodation,Tourism: Food and beverage,Tourism: Recreation and entertainment,Tourism: Retail,Tourism: Other,Public Sector Total,Public Sector: Federal Government,Public Sector: Provincial Government,Public Sector: Health,Public Sector: Social Services,Public Sector: Education,Public Sector: Local Government,Public Sector: Indigenous Government,Construction Total,Film and TV Total,High Tech Manufacturing Total,Other Manufacturing Total,Utilities Total,Truck Transport Total,Water Transport Total,Rail Transport Total,Other Transport Total,Retail Trade Total,Wholesale Trade Total,Business Services Total,FIRE Total,ICT Total,Other Services Total,Other Services: Accommodation,Other Services: Food Services,Other Services: Recreation and Entertainment,Other Services: Other,
10,Nelson,2010,Average Employment Income,EDA,Central Kootenay,"39,160","46,200","43,600","50,000","81,600",0,0,"12,300","1,600","41,300","23,500","34,500","20,800","16,900","23,400","26,100","66,400","50,000","48,000","60,800","45,500","50,800","48,400","57,200",0,"35,100","68,000",0,"73,300","94,000","52,900",0,0,0,"26,200","62,700","32,000","63,700","51,700","21,400","20,800","14,300","19,700","32,600",
11,Slocan Valley,2010,Average Employment Income,EDA,Central Kootenay,"32,720","55,900","49,100","61,300","60,000",0,0,"3,500","3,500",0,"28,400","41,900","30,400","18,800","30,000","18,100","42,300","39,500","48,000","50,000","39,900","36,000","39,300","28,400",0,"27,800",0,0,"20,100","68,000","51,200","130,700","130,700","130,700","30,000","38,700","20,900","25,600","38,800","17,000","30,400","12,400","19,300","15,000",
12,Kootenay Boundary,2010,Average Employment Income,RD,Kootenay Boundary,"43,520","48,200","47,500","48,900","86,100","35,100",0,"12,400","12,400","12,000","27,500","43,000","16,000","19,100","32,900","17,100","22,800","48,100","59,200","53,600","46,900","31,100","44,600","60,000",0,"39,000",0,0,"77,200","74,400","44,800",0,0,"34,000","23,000","32,200","34,600","51,200","60,500","20,900","16,100","18,400","31,700","20,900",
13,Grand Forks-Greenwood,2010,Average Employment Income,EDA,Kootenay Boundary,"33,800","39,500","40,200","38,900","77,800",0,0,"11,100","11,100","11,200","25,600","33,400","12,000","21,700","26,000","19,600","26,900","41,500","63,000","41,000","40,400","15,600","37,600","60,000",0,"33,200",0,0,"56,800",0,"24,800",0,0,0,"27,800","33,600","22,800","43,600","38,000","19,200","12,000","17,300","21,600","20,700",
14,Rossland,2010,Average Employment Income,EDA,Kootenay Boundary,"49,960","53,700","22,000","120,000","94,800",0,0,0,0,0,"30,700","72,200","21,100","35,000","50,000","6,500","19,000","55,600",0,"66,000","64,800","32,000","48,000","52,000",0,"37,000",0,0,0,"70,000","56,000",0,0,0,"10,100",0,"31,500","59,800","61,600","37,200","21,100","29,400","50,000","39,800",
15,Trail,2010,Average Employment Income,EDA,Kootenay Boundary,"48,080","51,100","40,000","53,300","84,800","32,700",0,"28,500","28,500",0,"24,900","46,200","14,000","20,000","23,000","18,000","128,700","47,300","55,000","58,000","44,300","46,300","41,200","67,000",0,"48,100",0,0,"98,500","75,500","55,000",0,0,"32,000","23,600","38,400","31,500","53,200","83,400","19,200","14,000","15,600","23,000","23,100",
16,Okanagan-Similkameen,2010,Average Employment Income,RD,Okanagan-Similkameen,"37,040","55,900","58,900","55,100","65,500","29,600",0,"21,400","17,500","32,100","24,900","37,700","19,900","21,000","21,000","28,800","14,600","47,200","58,100","52,800","41,400","29,000","50,000","63,000","34,000","37,000","46,200","44,300","42,200","65,600","39,200",0,0,"50,000","28,600","40,100","27,900","50,300","48,100","22,100","19,900","17,600","20,500","27,800",
17,Keremeos,2010,Average Employment Income,EDA,Okanagan-Similkameen,"30,400","35,000","42,000","32,000","62,000",0,0,"11,400","11,400",0,"26,100","36,600",0,"19,800",0,"11,100",0,"40,000","48,000",0,"43,500","79,400","36,000","40,000","25,000","37,600","11,100",0,0,0,"27,000",0,0,0,"46,100",0,"18,600","32,000","27,900","10,400",0,"11,600",0,"19,100",
18,Oliver-Osoyoos,2010,Average Employment Income,EDA,Okanagan-Similkameen,"31,880","33,900","17,000","45,000","22,000","22,000",0,"27,000","19,900","42,000","23,200","17,400","19,300","26,200","24,600","26,100","83,600","50,100","60,800","56,000","40,800","23,000","56,900","65,000","32,000","28,700",0,"60,000","48,400","52,000","36,400",0,0,"14,000","24,000","20,600","20,600","31,500","49,000","21,500","19,400","17,800","25,700","23,800",
19,Penticton,2010,Average Employment Income,EDA,Okanagan-Similkameen,"38,320","63,700","74,800","60,700","79,000","31,000",0,"20,600","18,500","24,900","26,700","45,500","19,800","20,500","18,000","27,100","20,000","46,800","59,300","52,000","41,500","29,800","47,400","63,800","39,500","39,200","60,000","38,800","41,800","70,500","42,500",0,0,"60,100","29,000","44,600","30,700","55,200","51,500","22,000","19,800","17,900","19,700","27,400",
20,Princeton,2010,Average Employment Income,EDA,Okanagan-Similkameen,"42,560","51,800","48,000","52,300","68,000",0,0,"10,000","10,000",0,"22,800","30,000","24,000","13,900","28,000","40,100",0,"53,500","46,000",0,"41,400","20,000","65,500",0,0,"29,800","40,100",0,0,0,"32,000",0,0,0,"22,300","68,000","19,900","35,100","30,100","21,400","24,000","9,000","28,000","23,300",
21,Fraser Valley,2010,Average Employment Income,RD,Fraser Valley,"40,120","45,000","46,500","44,500","63,100","27,000","25,000","31,100","27,600","41,400","29,700","53,400","27,800","19,300","19,000","29,400","30,100","48,700","62,000","55,400","44,200","32,400","46,700","59,500","33,400","45,500","24,800","60,200","46,500","97,700","43,300","78,000","56,500","58,500","28,800","48,800","33,100","49,100","44,800","23,800","28,200","15,300","19,100","33,600",
22,Chilliwack,2010,Average Employment Income,EDA,Fraser Valley,"39,920","48,400","48,400","48,400","59,900","34,600","22,000","32,700","29,600","40,400","33,200","55,100","31,200","18,300","18,800","32,900","37,000","49,400","63,100","57,600","44,400","28,000","48,600","62,200","38,400","41,200","6,000","42,000","46,400","91,500","47,200","90,000","59,500","70,300","28,900","53,200","31,400","53,000","41,600","23,200","30,400","14,200","19,700","32,000",
23,Hope-Fraser Canyon,2010,Average Employment Income,EDA,Fraser Valley,"34,960","41,700","30,000","56,000",0,0,0,"31,900","8,000","34,500","24,100","35,400","27,700","18,800","5,600","37,600",0,"43,100","56,000","54,000","40,100","28,000","48,000","50,000","29,000","45,900",0,0,0,"20,000","56,300",0,"60,000",0,"33,900","18,000","35,800","21,200","33,000","16,100","28,200","12,500","5,600","17,000",
24,Kent-Harrison,2010,Average Employment Income,EDA,Fraser Valley,"40,080","44,700","44,500","45,000","30,000",0,"16,100","30,400","28,400","45,000","25,300","28,000","27,000","20,500","20,400","40,000","50,900","44,600","59,200","40,000","29,300","30,000","42,900","75,000","31,600","38,700",0,0,"48,800","60,000","44,000",0,0,0,"36,500","60,000","39,000","38,800","63,900","21,200","27,000","13,200","19,300","24,200",
25,Matsqui-Abbottsford,2010,Average Employment Income,EDA,Fraser Valley,"40,320","45,100","52,000","44,500","69,100",0,0,"29,900","26,500","41,300","32,000","55,100","21,000","20,300","20,900","29,000","33,400","48,700","60,800","59,200","45,500","38,100","44,800","57,100","34,000","47,400","39,500","66,700","45,000","127,000","41,300","83,500","53,000","57,600","28,500","48,800","34,000","48,600","45,100","25,400","21,000","16,500","17,700","36,700",
26,Mission,2010,Average Employment Income,EDA,Fraser Valley,"40,520","38,300","43,200","36,500","67,000",0,0,"33,500","30,100","43,200","28,500","43,100","42,200","19,800","22,100","27,600","39,500","48,700","66,000","46,400","41,100","33,600","50,000","58,800","15,000","47,300","15,200","71,200","48,800","63,100","38,900","72,300","66,000","44,100","28,200","44,200","33,400","43,500","50,400","22,800","38,400","14,400","22,300","31,000",
27,Metro Vancouver,2010,Average Employment Income,RD,Metro Vancouver,"48,160","58,100","59,700","57,800","122,500","50,300","31,900","36,500","25,900","42,300","34,900","51,300","39,800","22,800","31,000","34,900","38,700","53,100","61,900","61,300","54,300","36,200","48,800","60,500","50,200","47,400","43,500","61,700","48,300","87,200","41,700","70,800","65,500","54,500","31,800","55,300","47,600","65,000","62,500","28,100","39,500","19,100","31,100","34,800",
28,Burnaby - New Westminster,2010,Average Employment Income,EDA,Metro Vancouver,"43,520","55,600","50,800","56,700","68,200","51,100","34,400","40,600","31,700","42,400","31,500","43,400","35,400","23,400","30,400","31,500","29,300","48,300","53,800","55,800","47,700","34,600","45,700","54,500","190,000","42,700","40,400","53,700","44,200","79,200","39,800","77,800","62,000","50,300","28,800","49,800","39,000","52,100","58,600","27,600","35,200","20,000","29,500","33,300",
29,Coquitlam,2010,Average Employment Income,EDA,Metro Vancouver,"48,840","59,400","59,700","59,400","90,700","63,200","49,600","42,000","38,800","42,500","35,200","50,500","47,100","22,000","31,500","34,500","41,100","53,100","64,500","56,700","51,600","38,300","49,900","61,600",0,"49,400","45,400","61,200","51,800","85,900","44,600","70,500","60,600","55,600","31,500","57,400","45,500","61,200","67,500","27,200","47,500","17,100","28,700","33,600",
30,Delta - Tsawwassen,2010,Average Employment Income,EDA,Metro Vancouver,"49,840","69,700","48,000","71,300","112,000","37,400","35,400","36,100","25,000","45,500","40,200","62,400","38,400","22,000","30,400","35,300","35,100","53,400","59,800","66,400","51,000","39,700","47,900","70,300","60,000","50,000","37,200","74,200","50,900","80,700","45,500","64,000","84,400","62,200","32,400","60,300","46,500","61,300","71,100","27,900","37,500","17,600","29,800","36,000",
31,Greater Vancouver,2010,Average Employment Income,EDA,Metro Vancouver,"50,960","61,800","66,600","60,700","165,300","47,600","30,800","39,700","28,400","41,400","36,300","53,200","41,900","23,200","33,000","39,800","44,300","56,100","61,600","66,800","61,600","36,700","51,400","57,200","33,200","46,500","43,200","65,600","43,800","97,000","41,900","68,600","56,300","53,600","33,300","54,600","55,400","71,800","60,500","30,300","41,500","20,500","35,400","37,800",
32,Langley,2010,Average Employment Income,EDA,Metro Vancouver,"47,080","52,300","43,000","53,700","67,800","17,800","45,700","35,600","28,600","53,100","39,200","57,300","43,500","22,800","32,500","36,700","45,800","52,400","71,000","55,300","47,600","38,700","47,100","63,700","45,000","50,100","33,800","66,200","50,900","87,200","49,900","71,800","75,000","67,100","33,800","62,900","43,300","60,100","61,400","27,100","45,200","18,100","31,900","34,000",
